LGUs,Category,LGU Score Percentage,Province,Revenue
Datu Salibo,Sixth Class Municipality,0.021,Maguindanao,114325296
Datu Saudi-Ampatuan,Fourth Class Municipality,0.01,Maguindanao,1505296
Datu Unsay,Fifth Class Municipality,0.004,Maguindanao,797684.54
Dauin,Fourth Class Municipality,0.015,Negros Oriental,24344749.67
Dauis,Fourth Class Municipality,0.043,Bohol,235747305
Del Carmen,Fifth Class Municipality,0.023,Surigao Del Norte,3737069.98
Del Gallego,Fourth Class Municipality,0.03,Camarines Sur,227308357.5
Delfin Albano,Fourth Class Municipality,0.014,Isabela,36448828.69
Diadi,Fourth Class Municipality,0.024,Nueva Vizcaya,8328321.75
Diffun,Second Class Municipality,0.221,Quirino,27271258.37
Digos,Component City,0.399,Davao Del Sur,1504973732
Dilasag,Third Class Municipality,0.036,Aurora,0
Dimasalang,Fourth Class Municipality,0.018,Masbate Province,12099539.19
Dimataling,Fourth Class Municipality,0.015,Zamboanga Del Sur,2684561.73
Dimiao,Fourth Class Municipality,0.019,Bohol,137131056.9
Dinagat,Fifth Class Municipality,0.045,Dinagat Islands,3440876.16
Dinalungan,Fourth Class Municipality,0.031,Aurora,4884711.47
Dinalupihan,First Class Municipality,0.12,Bataan,512973749.5
Dinapigue,First Class Municipality,0.002,Isabela,4253991.03
Dinas,Fourth Class Municipality,0.019,Zamboanga Del Sur,9577620.43
Dingalan,Third Class Municipality,0.069,Aurora,15188872.33
Dingle,Third Class Municipality,0.017,Iloilo Province,23317878.31
Dingras,Second Class Municipality,0.058,Ilocos Norte,351032385.1
Dipaculao,Third Class Municipality,0.08,Aurora,14601780.43
Diplahan,Third Class Municipality,0.042,Zamboanga Sibugay,19925891.05
Dipolog,Component City,0.106,Zamboanga Del Norte,282014129.8
Ditsaan-Ramain,Third Class Municipality,0.011,Lanao Del Sur,402175
Divilacan,Second Class Municipality,0.002,Isabela,3599406.25
Dolores (AA),Fifth Class Municipality,0.04,Abra,108780280.3
Dolores (ES),Third Class Municipality,0.049,Eastern Samar,14763594.17
Dolores (QN),Fourth Class Municipality,0.016,Quezon,170425149
Don Carlos,First Class Municipality,0.042,Bukidnon,126901599.3
Don Marcelino,Third Class Municipality,0.073,Davao Occidental,3589488.96
Don Victoriano Chiongbian,Fourth Class Municipality,0.009,Misamis Occidental,2650277.2
Dona Remedios Trinidad,First Class Municipality,0.018,Bulacan,426877192.7
Donsol,Third Class Municipality,0.036,Sorsogon Province,17590728.82
Duenas,Fourth Class Municipality,0.013,Iloilo Province,19070059.57
Duero,Fourth Class Municipality,0.021,Bohol,136041988
Dulag,Third Class Municipality,0.017,Leyte Province,18752138.17
Dumaguete,Component City,0.088,Negros Oriental,217381472.1
Dumalag,Fourth Class Municipality,0.022,Capiz,13391872.58
Dumalinao,Fourth Class Municipality,0.018,Zamboanga Del Sur,14808549.98
Dumalneg,Fifth Class Municipality,0.003,Ilocos Norte,1952117.4
Dumangas,First Class Municipality,0.041,Iloilo Province,88822748.74
Dumanjug,Third Class Municipality,0.012,Cebu Province,43594820.11
Dumaran,Third Class Municipality,0.016,Palawan,13117619.49
Dumarao,Second Class Municipality,0.095,Capiz,259949696.5
Dumingag,Second Class Municipality,0.024,Zamboanga Del Sur,4054193.02
Dupax Del Norte,Third Class Municipality,0.036,Nueva Vizcaya,12229932.86
Dupax Del Sur,Second Class Municipality,0.027,Nueva Vizcaya,8914669.65
E. B. Magalona,Second Class Municipality,0.015,Negros Occidental,40360580.31
Echague,First Class Municipality,0.038,Isabela,79338313.02
El Nido,First Class Municipality,0.043,Palawan,132460227.3
El Salvador,Component City,0.137,Misamis Oriental,953885967.2
Enrile,Third Class Municipality,0.028,Cagayan,38029029.02
Enrique Villanueva,Fifth Class Municipality,0.038,Sarangani,4574229.81
Escalante,Component City,0.079,Negros Occidental,1044083326
Esperanza (AS),First Class Municipality,0.042,Agusan Del Sur,22212221.57
Esperanza (MS),Fifth Class Municipality,0.011,Masbate Province,2813038.99
Esperanza (SK),First Class Municipality,0.078,Sultan Kudarat,367826225.4
Estancia,Second Class Municipality,0.018,Iloilo Province,19717450.2
Famy,Fifth Class Municipality,0.003,Laguna,8141059.52
Ferrol,Sixth Class Municipality,0.108,Romblon Province,84570749.42
Flora,Third Class Municipality,0.219,Apayao,202244433.1
Floridablanca,First Class Municipality,0.033,Pampanga,91010189.01
Gabaldon,Third Class Municipality,0.026,Nueva Ecija,235465511.1
Gainza,Fifth Class Municipality,0.003,Camarines Sur,1374264.93
Galimuyod,Fourth Class Municipality,0.02,Ilocos Sur,385500944.3
Gamay,Fourth Class Municipality,0.021,Northern Samar,4548902.52
Gamu,Fourth Class Municipality,0.011,Isabela,16241780.28
Ganassi,Fourth Class Municipality,0.014,Lanao Del Sur,618916.65
Gandara,Second Class Municipality,0.023,Samar (Western Samar),5286375.09
Gapan,Component City,0.103,Nueva Ecija,1071330104
Garchitorena,Fourth Class Municipality,0.007,Camarines Sur,3257984.49
Garcia-Hernandez,Fourth Class Municipality,0.011,Bohol,15961784.83
Gasan,Third Class Municipality,0.188,Marinduque,197682890.1
Gattaran,First Class Municipality,0.036,Cagayan,37703160.99
Gen S.K Pendatun,Fourth Class Municipality,0.01,Maguindanao,1717244.23
Gen. Emilio Aguinaldo,Fifth Class Municipality,0.003,Cavite,20788236.5
Gen. Mariano Alvarez,First Class Municipality,0.034,Cavite,620937061.1
General Luna (QN),Fourth Class Municipality,0.013,Quezon,157495411.3
General Luna (SN),Fifth Class Municipality,0.021,Surigao Del Norte,31083268.8
General Macarthur,Fifth Class Municipality,0.037,Eastern Samar,128266222.3
General Mamerto Natividad,Fourth Class Municipality,0.011,Nueva Ecija,18048327.87
General Nakar,First Class Municipality,0.031,Quezon,515045258.3
General Tinio,First Class Municipality,0.014,Nueva Ecija,15496640.47
General Trias,Component City,0.132,Cavite,3236141541
Gerona,First Class Municipality,0.036,Tarlac Province,77688496.94
Getafe,Third Class Municipality,0.012,Bohol,6800399.29
Gigaquit,Fourth Class Municipality,0.021,Surigao Del Norte,7661343.79
Gigmoto,Fifth Class Municipality,0.107,Catanduanes,127369131
Ginatilan,Fifth Class Municipality,0.003,Cebu Province,8183649.83
Gingoog,Component City,0.269,Misamis Oriental,1672400579
Giporlos,Fifth Class Municipality,0.014,Eastern Samar,1225338.91
Gitagum,Fifth Class Municipality,0.01,Misamis Oriental,7800448.6
Glan,First Class Municipality,0.19,Sarangani,541336690
Gloria,Third Class Municipality,0.026,Oriental Mindoro,19088890.51
Goa,Second Class Municipality,0.02,Camarines Sur,24333470.52
Godod,Fourth Class Municipality,0.029,Zamboanga Del Norte,151115112.1
Gonzaga,First Class Municipality,0.025,Cagayan,23068667.48
Governor Generoso,Second Class Municipality,0.093,Davao Oriental,49680197.57
Gregorio Del Pilar,Fifth Class Municipality,0.014,Ilocos Sur,314410924.2
Guagua,First Class Municipality,0.055,Pampanga,515030242.1
Gubat,Second Class Municipality,0.045,Sorsogon Province,27348765.96
Guiguinto (BU),First Class Municipality,0.027,Bulacan,355268600.6
Guihulngan,Component City,0.043,Negros Oriental,45035605.28
Guimba,First Class Municipality,0.034,Nueva Ecija,70614724.93
Guimbal,Fourth Class Municipality,0.017,Iloilo Province,33877859.71
Guinayangan,Third Class Municipality,0.022,Quezon,240124167.2
Guindulman,Fourth Class Municipality,0.031,Bohol,190970993.8
Guindulungan,Sixth Class Municipality,0.008,Maguindanao,818433.55
Guinobatan,First Class Municipality,0.061,Albay,384620467.9
Guinsiliban,Sixth Class Municipality,0.043,Camiguin,3769804.01
Guipos,Fourth Class Municipality,0.012,Zamboanga Del Sur,9945168.29
Guiuan,Second Class Municipality,0.066,Eastern Samar,52263769.95
Gumaca,First Class Municipality,0.034,Quezon,339622238.5
Gutalac,Second Class Municipality,0.018,Zamboanga Del Norte,7463913.72
Hadji Mohammad Ajul,Sixth Class Municipality,0.031,Basilan,294447.48
Hadji Muhtamad,Sixth Class Municipality,0.036,Basilan,550950
Hadji Panglima Tahil,Sixth Class Municipality,0.005,Sulu,0
Hagonoy (BU),First Class Municipality,0.034,Bulacan,484768317.5
Hagonoy (DS),Third Class Municipality,0.047,Davao Del Sur,29069741.12
Hamtic,Third Class Municipality,0.048,Antique,16176169.7
Hermosa,First Class Municipality,0.09,Bataan,447461964.7
Hernani,Fifth Class Municipality,0.022,Eastern Samar,79017881
Hilongos,Second Class Municipality,0.025,Leyte Province,34850328.3
Himamaylan,Component City,0.113,Negros Occidental,1538735555
Hinabangan,Fourth Class Municipality,0.009,Samar (Western Samar),2302507.51
Hinatuan,Second Class Municipality,0.063,Surigao Del Sur,37938993.2
Hindang,Fifth Class Municipality,0.024,Leyte Province,133425914
Hingyon,Fifth Class Municipality,0.023,Ifugao,1289973.87
Hinigaran,First Class Municipality,0.021,Negros Occidental,67770178.69
Hinobaan,First Class Municipality,0.013,Negros Occidental,14525022.34
Hinunangan,Third Class Municipality,0.043,Southern Leyte,17907732.92
Hinundayan,Fifth Class Municipality,0.073,Southern Leyte,111880529
Hungduan,Fourth Class Municipality,0.101,Ifugao,167610580.8
Iba,Second Class Municipality,0.056,Zambales,76656222.07
Ibaan,Second Class Municipality,0.012,Batangas Province,62068100.4
Ibajay,Third Class Municipality,0.051,Aklan,39505533.3
Igacos,Component City,0.076,Davao Del Norte,211021507.2
Igbaras,Third Class Municipality,0.01,Iloilo Province,8326045.15
Iguig,Fourth Class Municipality,0.023,Cagayan,28161243.23
Ilagan,Component City,0.098,Isabela,323120583.8
Ilog,Second Class Municipality,0.013,Negros Occidental,16715067.69
Imelda,Fourth Class Municipality,0.208,Zamboanga Sibugay,213203314.9
Impasug-Ong,First Class Municipality,0.089,Bukidnon,512842260.9
Imus,Component City,0.075,Cavite,1107896329
Inabanga,Third Class Municipality,0.018,Bohol,7026450.11
Indanan,Third Class Municipality,0.055,Sulu,1230841.18
Indang,First Class Municipality,0.016,Cavite,336268441.2
Infanta (PS),Third Class Municipality,0.011,Pangasinan,222470963.7
Infanta (QN),First Class Municipality,0.034,Quezon,375606846.9
Initao,Third Class Municipality,0.036,Misamis Oriental,169653317.6
Inopacan,Fourth Class Municipality,0.027,Leyte Province,149332929.9
Ipil,First Class Municipality,0.117,Zamboanga Sibugay,56831518.37
Iriga,Component City,0.044,Camarines Sur,150626186.3
Irosin,Second Class Municipality,0.124,Sorsogon Province,267402275.5
Isabel,First Class Municipality,0.045,Leyte Province,224850145.1
Isabela (BAS),Component City,1,Basilan (IX),1051860396
Isabela (NO),Second Class Municipality,0.014,Negros Occidental,24542765.45
Isulan,First Class Municipality,0.114,Sultan Kudarat,535566038.1
Itbayat,Fifth Class Municipality,0.107,Batanes,5179048.54
Itogon,First Class Municipality,0.086,Benguet,68284569.3
Ivana,Sixth Class Municipality,0.056,Batanes,4026750.8
Ivisan,Fourth Class Municipality,0.023,Capiz,14021613.75
Jabonga,Third Class Municipality,0.048,Agusan Del Norte,15623998.41
Jaen,Second Class Municipality,0.034,Nueva Ecija,233771831.5
Jagna,Third Class Municipality,0.035,Bohol,204849926
Jalajala,Fourth Class Municipality,0.011,Rizal,172774861.2
Jamindan,Second Class Municipality,0.027,Capiz,11410970.31
Janiuay,First Class Municipality,0.027,Iloilo Province,39815789.11
Jaro,Third Class Municipality,0.015,Leyte Province,20860295.05
Jasaan,Second Class Municipality,0.04,Misamis Oriental,113583104.3
Javier,Fourth Class Municipality,0.008,Leyte Province,4884484.13
Jiabong,Fifth Class Municipality,0.033,Samar (Western Samar),71010877.37
Jimalalud,Fourth Class Municipality,0.013,Negros Oriental,9290456.26
Jimenez,Third Class Municipality,0.098,Misamis Occidental,190211378.6
Jipapad,Fifth Class Municipality,0.009,Eastern Samar,1350498.89
Jolo,First Class Municipality,0.085,Sulu,13228826.21
Jomalig,Fifth Class Municipality,0.006,Quezon,92552576.24
Jones,First Class Municipality,0.025,Isabela,59255698.35
Jordan,Third Class Municipality,0.113,Guimaras,24708893.43
Jose Abad Santos,First Class Municipality,0.125,Davao Occidental,6270200
Jose Dalman,Fourth Class Municipality,0.038,Zamboanga Del Norte,172191184.2
Jose Panganiban,Second Class Municipality,0.065,Camarines Norte,26043258.84
Josefina,Fifth Class Municipality,0.007,Zamboanga Del Sur,4824824.82
Jovellar,Fourth Class Municipality,0.007,Albay,1315943.28
Juban,Fourth Class Municipality,0.027,Sorsogon Province,20564888
Julita,Fifth Class Municipality,0.006,Leyte Province,8752648.02
Kabacan,First Class Municipality,0.069,Cotabato (North Cotabato),502088695.2
Kabankalan,Component City,0.045,Negros Occidental,165715137.8
Kabasalan,Second Class Municipality,0.056,Zamboanga Sibugay,23571933.04
Kabayan,Fourth Class Municipality,0.065,Benguet,167961986.3
Kabugao,First Class Municipality,0.069,Apayao,5265050.23
Kabuntalan,Fifth Class Municipality,0.008,Maguindanao,1668401.1
Kadingilan,Third Class Municipality,0.015,Bukidnon,22967456.69
Kalamansig,First Class Municipality,0.07,Sultan Kudarat,386483010.7
Kalawit,Fourth Class Municipality,0.012,Zamboanga Del Norte,5361294.48
Kalayaan (LA),Third Class Municipality,0.008,Laguna,166507611.4
Kalayaan (PN),Fifth Class Municipality,0,Palawan,15050.5
Kalibo,First Class Municipality,0.186,Aklan,546834765.4
Kalilangan,Second Class Municipality,0.018,Bukidnon,25054066.51
Kalingalan Caluang,Fifth Class Municipality,0.081,Sulu,129400000
Kananga,First Class Municipality,0.029,Leyte Province,94932755.21
Kapai,Fourth Class Municipality,0.01,Lanao Del Sur,514558
Kapalong,First Class Municipality,0.041,Davao Del Norte,25350321.74
Kapangan,Fourth Class Municipality,0.023,Benguet,6531623
Kapatagan (LN),First Class Municipality,0.055,Lanao Del Norte,39521059.15
Kapatagan (LS),Fourth Class Municipality,0.016,Lanao Del Sur,4074000
Kasibu,Third Class Municipality,0.081,Nueva Vizcaya,66145373.72
Katipunan,Second Class Municipality,0.023,Zamboanga Del Norte,13356815.12
Kauswagan,Fifth Class Municipality,0.143,Lanao Del Norte,525108363.8
Kawayan,Fifth Class Municipality,0.155,Biliran Province,139155444.2
Kawit,First Class Municipality,0.025,Cavite,504922134.8
Kayapa,Third Class Municipality,0.029,Nueva Vizcaya,6476790.72
Kiamba,First Class Municipality,0.113,Sarangani,347502910
Kiangan,Fourth Class Municipality,0.045,Ifugao,6958586.99
Kibawe,Second Class Municipality,0.019,Bukidnon,36602773.21
Kiblawan,Second Class Municipality,0.088,Davao Del Sur,302094135.8
Kibungan,Fourth Class Municipality,0.021,Benguet,4142504.03
Kidapawan,Component City,0.158,Cotabato (North Cotabato),1551073641
Kinoguitan,Fifth Class Municipality,0.011,Misamis Oriental,30000000
Kitaotao,First Class Municipality,0.019,Bukidnon,10387229.53
Kitcharao,Fourth Class Municipality,0.038,Agusan Del Norte,13643379.93
Kolambugan,Fourth Class Municipality,0.024,Lanao Del Norte,18277454.17
Koronadal,Component City,0.237,South Cotabato,1640083039
Kumalarang,Fourth Class Municipality,0.017,Zamboanga Del Sur,16942567
La Carlota,Component City,0.028,Negros Occidental,267230096
La Castellana,First Class Municipality,0.016,Negros Occidental,30227699.89
La Libertad (NR),Third Class Municipality,0.056,Negros Oriental,224784877.1
La Libertad (ZN),Fifth Class Municipality,0.017,Zamboanga Del Norte,97386094.04
La Paz (AA),Fifth Class Municipality,0.049,Abra,113201927.1
La Paz (AS),First Class Municipality,0.023,Agusan Del Sur,7103405.3
La Paz (LE),Fifth Class Municipality,0.024,Leyte Province,132066058.3
La Paz (TC),Second Class Municipality,0.046,Tarlac Province,288849190.2
La Trinidad,First Class Municipality,0.349,Benguet,724141108.8
Laak,First Class Municipality,0.056,Davao De Oro,51221857
Labangan,Third Class Municipality,0.024,Zamboanga Del Sur,15612132.31
Labason,Third Class Municipality,0.021,Zamboanga Del Norte,1319084.21
Labo,First Class Municipality,0.36,Camarines Norte,537449749.1
Labrador,Fourth Class Municipality,0.005,Pangasinan,6148760.17
Lacub,Fifth Class Municipality,0.029,Abra,145388076
Lagangilang,Fifth Class Municipality,0.048,Abra,124671874.7
Lagawe,Fourth Class Municipality,0.13,Ifugao,178405185.2
Lagayan,Fifth Class Municipality,0.037,Abra,185717452.3
Lagonglong,Fifth Class Municipality,0.015,Misamis Oriental,7800593.86
Lagonoy,Second Class Municipality,0.05,Camarines Sur,310382866.8
Laguindingan,Fourth Class Municipality,0.016,Misamis Oriental,22317387.36
Lake Sebu,First Class Municipality,0.087,South Cotabato,498385004.3
Lakewood,Fourth Class Municipality,0.011,Zamboanga Del Sur,2746324.07
Lala,First Class Municipality,0.134,Lanao Del Norte,339759853.7
Lallo,First Class Municipality,0.034,Cagayan,42761557.21
Lambayong,Second Class Municipality,0.081,Sultan Kudarat,336860490.4
Lambunao,First Class Municipality,0.028,Iloilo Province,30575957.52
Lamitan,Component City,0.52,Basilan,47246749.74
Lamut,Fourth Class Municipality,0.148,Ifugao,186958517.9
Langiden,Fifth Class Municipality,0.021,Abra,96205165.83
Languyan,First Class Municipality,0.491,Tawi-Tawi,345286312.7
Lantapan,First Class Municipality,0.071,Bukidnon,351965018.1
Lantawan,Third Class Municipality,0.055,Basilan,2223000
Lanuza,Fourth Class Municipality,0.017,Surigao Del Sur,7867631.35
Laoac,Fourth Class Municipality,0.012,Pangasinan,216890825
Laoag,Component City,0.175,Ilocos Norte,1125291884
Laoang,Second Class Municipality,0.055,Northern Samar,12981591.94
Lapinig,Fifth Class Municipality,0.011,Northern Samar,1723036.18
Lapuyan,Third Class Municipality,0.014,Zamboanga Del Sur,7209926.33
Larena,Fifth Class Municipality,0.248,Siquijor Province,110360507.8
Las Navas,Fourth Class Municipality,0.032,Northern Samar,4303544.29
Las Nieves,Second Class Municipality,0.047,Agusan Del Norte,7297666.88
Lasam,Third Class Municipality,0.026,Cagayan,29117008.19
Laua-An,Fourth Class Municipality,0.068,Antique,154558949.8
Laur,Third Class Municipality,0.01,Nueva Ecija,16292443.94
Laurel,Third Class Municipality,0.013,Batangas Province,220426424.3
Lavezares,Fourth Class Municipality,0.029,Northern Samar,11749101.81
Lawaan,Fifth Class Municipality,0.037,Eastern Samar,137480863
Lazi,Fourth Class Municipality,0.124,Siquijor Province,5424580.33
Lebak,First Class Municipality,0.101,Sultan Kudarat,463551476.3
Leganes,Fourth Class Municipality,0.015,Iloilo Province,24109977.57
Legazpi,Component City,0.214,Albay,1744875502
Lemery (BS),First Class Municipality,0.019,Batangas Province,99784689.32
Lemery (IO),Fourth Class Municipality,0.012,Iloilo Province,18171823.36
Leon,Second Class Municipality,0.02,Iloilo Province,30073032.59
Leyte,Fourth Class Municipality,0.012,Leyte Province,5424819.55
Lezo,Fifth Class Municipality,0.014,Aklan,5479339.46
Lian,Third Class Municipality,0.016,Batangas Province,257363857.8
Lianga,Fourth Class Municipality,0.034,Surigao Del Sur,10137340.84
Libacao,Third Class Municipality,0.024,Aklan,3373135.03
Libagon,Fifth Class Municipality,0.021,Southern Leyte,6508708.91
Libertad (AE),Fifth Class Municipality,0.016,Antique,8716599.69
Libertad (MO),Fifth Class Municipality,0.007,Misamis Oriental,6095556.47
Libjo,Fifth Class Municipality,0.091,Dinagat Islands,17984315.01
Libmanan,First Class Municipality,0.03,Camarines Sur,22255433.12
Libon,First Class Municipality,0.055,Albay,348063795.3
Libona,First Class Municipality,0.028,Bukidnon,91759007.79
Libungan,Second Class Municipality,0.037,Cotabato (North Cotabato),275545533.9
Licab,Fourth Class Municipality,0.017,Nueva Ecija,152553837.5
Licuan-Baay,Fifth Class Municipality,0.03,Abra,137165030.2
Lidlidda,Fifth Class Municipality,0.013,Ilocos Sur,317647581.7
Ligao,Component City,0.136,Albay,1215974280
Lila,Fifth Class Municipality,0.005,Bohol,7012419.6
Liliw,Fourth Class Municipality,0.007,Laguna,16852802.16
Liloan (CU),First Class Municipality,0.065,Cebu Province,636645174.9
Liloan (SL),Fourth Class Municipality,0.041,Southern Leyte,24154928.19
Liloy,Third Class Municipality,0.024,Zamboanga Del Norte,24669386.83
Limasawa,Sixth Class Municipality,0.008,Southern Leyte,2195608.37
Limay,First Class Municipality,0.103,Bataan,580000691
Linamon,Fifth Class Municipality,0.018,Lanao Del Norte,11376068.51
Linapacan,Fifth Class Municipality,0.01,Palawan,5603695.87
Lingayen,First Class Municipality,0.032,Pangasinan,448171691.1
Lingig,Second Class Municipality,0.033,Surigao Del Sur,6691571.53
Lipa,Component City,0.146,Batangas Province,2934746181
Llanera,Fourth Class Municipality,0.025,Nueva Ecija,215009427.1
Llorente,Third Class Municipality,0.063,Eastern Samar,249528515.8
Loay,Fifth Class Municipality,0.02,Bohol,139621349.2
Lobo,Third Class Municipality,0.015,Batangas Province,254558753
Loboc,Fourth Class Municipality,0.011,Bohol,48235430.67
Looc (OM),Fifth Class Municipality,0.008,Occidental Mindoro,1108136.72
Looc (RN),Fourth Class Municipality,0.052,Romblon Province,13962734.05
Loon,Second Class Municipality,0.04,Bohol,238026922.3
Lope De Vega,Fourth Class Municipality,0.013,Northern Samar,3315444.82
Lopez,First Class Municipality,0.044,Quezon,446381605.1
Lopez Jaena,Fourth Class Municipality,0.025,Misamis Occidental,11162458.84
Loreto (AS),First Class Municipality,0.031,Agusan Del Sur,10243042.7
Loreto (DI),Fourth Class Municipality,0.083,Dinagat Islands,37552393.35
Los Banos,First Class Municipality,0.019,Laguna,70179094.36
Luba,Fifth Class Municipality,0.03,Abra,112443670.3
Lubang,Fourth Class Municipality,0.021,Occidental Mindoro,9527400.24
Lubao,First Class Municipality,0.07,Pampanga,612275539.4
Lubuagan,Fourth Class Municipality,0.029,Kalinga,1919653.11
Lucban,Second Class Municipality,0.026,Quezon,292098456
Lugait,Second Class Municipality,0.016,Misamis Oriental,40237564.59
Lugus,Fifth Class Municipality,0.013,Sulu,0
Luisiana,Fourth Class Municipality,0.007,Laguna,150704662.1
Lumba-Bayabao,Second Class Municipality,0.024,Lanao Del Sur,2528650
Lumbaca-Unayan,Sixth Class Municipality,0.003,Lanao Del Sur,0
Lumban,Third Class Municipality,0.01,Laguna,182770621.9
Lumbatan,Fifth Class Municipality,0.012,Lanao Del Sur,1217285.92
Lumbayanague,Fourth Class Municipality,0.008,Lanao Del Sur,0
Luna (AO),Second Class Municipality,0.091,Apayao,15058600.92
Luna (IA),Fifth Class Municipality,0.011,Isabela,34528614.34
Luna (LU),Third Class Municipality,0.041,La Union,212186495.1
Lupao,Third Class Municipality,0.027,Nueva Ecija,229542298.5
Lupi,Third Class Municipality,0.01,Camarines Sur,10781707.94
Lupon,First Class Municipality,0.115,Davao Oriental,58117601.03
Lutayan,Second Class Municipality,0.039,Sultan Kudarat,6980967.94
Luuk,Third Class Municipality,0.019,Sulu,887131.1
Ma-Ayon,Third Class Municipality,0.027,Capiz,3724624.37
Maasim,First Class Municipality,0.124,Sarangani,421311263.2
Maasin (IO),Third Class Municipality,0.013,Iloilo Province,12982872.35
Maasin (SL),Component City,0.15,Southern Leyte,94724205.12
Mabalacat,Component City,0.19,Pampanga,2332197603
Mabinay,First Class Municipality,0.035,Negros Oriental,28235282.77
Mabini (BL),Fourth Class Municipality,0.011,Bohol,8253215.39
Mabini (BS),First Class Municipality,0.016,Batangas Province,289903995.4
Mabini (CV),Second Class Municipality,0.07,Davao De Oro,294950550.7
Mabini (PS),Third Class Municipality,0.011,Pangasinan,212487861.5
Mabitac,Fifth Class Municipality,0.006,Laguna,105051543.8
Mabuhay,Fourth Class Municipality,0.029,Zamboanga Sibugay,1719602.65
Macabebe,First Class Municipality,0.033,Pampanga,300909066.8
Macalelon,Fourth Class Municipality,0.014,Quezon,167852736.2
Macarthur,Fifth Class Municipality,0.007,Leyte Province,7612108.7
Maco,First Class Municipality,0.132,Davao De Oro,547936238.4
Maconacon,Third Class Municipality,0.035,Isabela,215540355.4
Macrohon,Fourth Class Municipality,0.121,Southern Leyte,171782369.1
Madalag,Fourth Class Municipality,0.016,Aklan,3533716.36
Madalum,Third Class Municipality,0.011,Lanao Del Sur,0
Madamba,Fourth Class Municipality,0.01,Lanao Del Sur,335937.5
Maddela,First Class Municipality,0.261,Quirino,50619500.12
Madrid,Fourth Class Municipality,0.032,Surigao Del Sur,24201559.33
Madridejos,Fourth Class Municipality,0.009,Cebu Province,32522098.98
Magalang,First Class Municipality,0.03,Pampanga,83684940.18
Magallanes (AN),Fourth Class Municipality,0.041,Agusan Del Norte,11767029.3
Magallanes (CE),Fourth Class Municipality,0.007,Cavite,173057241.6
Magallanes (SO),Third Class Municipality,0.028,Sorsogon Province,16873470.72
Magarao,Fourth Class Municipality,0.007,Camarines Sur,5184295.17
Magdalena,Fourth Class Municipality,0.009,Laguna,166213864.1
Magdiwang,Fifth Class Municipality,0.028,Romblon Province,1805696.93
Magpet,First Class Municipality,0.051,Cotabato (North Cotabato),430502395.5
Magsaysay (DS),Third Class Municipality,0.045,Davao Del Sur,20410057
Magsaysay (LN),Fifth Class Municipality,0.226,Lanao Del Norte,899359238
Magsaysay (MO),Fourth Class Municipality,0.023,Misamis Oriental,19612504.15
Magsaysay (OM),Third Class Municipality,0.039,Occidental Mindoro,9643656.44
Magsaysay (PN),Fifth Class Municipality,0.008,Palawan,3596530.04
Magsingal,Third Class Municipality,0.063,Ilocos Sur,1313032290
Maguing,Second Class Municipality,0.016,Lanao Del Sur,1665813.24
Mahaplag,Fourth Class Municipality,0.008,Leyte Province,2982577.28
Mahatao,Sixth Class Municipality,0.061,Batanes,3403115.88
Mahayag,Third Class Municipality,0.025,Zamboanga Del Sur,11077328.15
Mahinog,Fifth Class Municipality,0.105,Camiguin,13536259.45
Maigo,Fourth Class Municipality,0.018,Lanao Del Norte,9262939.61
Maimbung,Fifth Class Municipality,0.022,Sulu,270280.96
Mainit,Fourth Class Municipality,0.029,Surigao Del Norte,17590373.66
Maitum,Second Class Municipality,0.082,Sarangani,272045496.6
Majayjay,Fourth Class Municipality,0.009,Laguna,164211244.4
Makato,Fourth Class Municipality,0.027,Aklan,15577673.04
Makilala,First Class Municipality,0.065,Cotabato (North Cotabato),502524831.2
Malabang,Third Class Municipality,0.021,Lanao Del Sur,0
Malabuyoc,Fifth Class Municipality,0.01,Cebu Province,102398235.7
Malalag,Second Class Municipality,0.039,Davao Del Sur,54940069.68
Malangas,Third Class Municipality,0.05,Zamboanga Sibugay,29731444.37
Malapatan,First Class Municipality,0.152,Sarangani,510444904.5
Malasiqui,First Class Municipality,0.022,Pangasinan,44454684.38
Malay,First Class Municipality,0.186,Aklan,661710616.7
Malaybalay,Component City,0.09,Bukidnon,210034830.9
Malibcong,Fifth Class Municipality,0.029,Abra,144609037
Malilipot,Fourth Class Municipality,0.022,Albay,97087209.66
Malimono,Fifth Class Municipality,0.018,Surigao Del Norte,5364129.26
Malinao (AK),Fourth Class Municipality,0.056,Aklan,174686300.9
Malinao (AY),Third Class Municipality,0.018,Albay,14505963.4
Malita,First Class Municipality,0.668,Davao Occidental,737267699.7
Malitbog (BK),Second Class Municipality,0.009,Bukidnon,4880170.03
Malitbog (SL),Fourth Class Municipality,0.031,Southern Leyte,7111915.97
Mallig,Fourth Class Municipality,0.012,Isabela,12713800.03
Malolos,Component City,0.089,Bulacan,1674605224
Malungon,First Class Municipality,0.181,Sarangani,559194779.7
Maluso,Fourth Class Municipality,0.099,Basilan,5286921.85
Malvar,Second Class Municipality,0.025,Batangas Province,565492179.6
Mamasapano,Fifth Class Municipality,0.008,Maguindanao,641906.84
Mambajao,Third Class Municipality,0.66,Camiguin,225892037
Mamburao,Second Class Municipality,0.129,Occidental Mindoro,244898157.9
Mambusao,Third Class Municipality,0.078,Capiz,211142556.1
Manabo,Fifth Class Municipality,0.035,Abra,87227278.26
Manaoag,First Class Municipality,0.022,Pangasinan,318450787.2
Manapla,Second Class Municipality,0.013,Negros Occidental,27447770.01
